,name,address
206,Three Twenty Brewing Co.,"135 5th St SE Pine City, Minnesota 55063"
207,Thunder Brothers Brewery,"2 Enterprise AveSuite A3 Isanti, MN 55040"
208,Tilion Brewing Company,"432 Mill St W Cannon Falls, Minnesota 55009"
209,Tin Whiskers Brewing Co.,"125 9th St E St. Paul, MN 55101"
210,Torg Brewery,"8421 University Ave NE Spring Lake Park, MN 55432"
211,Town Hall Brewery,"1430 S Washington Ave Minneapolis, MN 55454"
212,Trout City Brewing,"132 St Anthony St S Preston, MN 55965"
213,Turtle Stack Brewery,"125 2nd St S La Crosse, WI 54601"
214,Uncommon Loon Brewing Company,"10825 Lake Blvd Chisago City, MN 55013"
215,Under Pressure Brewing Company,"8806 7th Ave N Golden Valley, MN 55427"
216,Union 32 Crafthouse,"2864 Hwy 55 Eagan, Minnesota 55121"
217,Union Pizza and Brewing Co.,"114 S Union Ave Fergus Falls, MN 56537"
218,Unmapped Brewing Co.,"14625 Excelsior Blvd. Minnetonka, MN 55345"
219,Urban Growler Brewing Company,"2325 Endicott St St. Paul, MN 55114"
220,Ursa Minor Brewing,"2415 W Superior St Duluth, MN 55806"
221,Utepils Brewing Company,"225 Thomas Ave. N Minneapolis, MN 55405"
222,Venn Brewing Company,"3550 E 46th St Suite 140 Minneapolis, Minnesota 55406"
223,Vine Park Brewing Co.,"1254 W. 7th St St. Paul, MN 55102"
224,Voyageur Brewing Company,"233 W Hwy 61 Grand Marais, MN 55604"
225,Wabasha Brewing Company,"429 Wabasha St S St. Paul, MN 55107"
226,Waconia Brewing Company,"255 W Main St Waconia, MN 55387"
227,Waldmann Brewery & Wurstery,"445 Smith Avenue North St. Paul, MN 55102"
228,Ward House Brewery,"111 Elm Ave W Waseca, Minnesota 56093"
229,Warrior Brewing Company,"2711 W Superior St, Suite #204 Duluth, MN 55806"
230,Wicked Wort Brewing Company,"4165 W Broadway Ave Robbinsdale, MN 55422"
231,Wild Mind Artisan Ales,"6031 Pillsbury Ave S Minneapolis, MN 55419"
232,WoodGrain Brewing Co.,"101 S Phillips Ave #100 Sioux Falls, SD 57104"
233,Wooden Hill Brewing Company,"7421 Bush Lake Rd Edina, Minnesota 55439"
234,Wooden Ship Brewing Company,"3300 W 44th St Minneapolis, MN 55410"
235,Yoerg Brewing Company,"378 Maria Ave St. Paul, MN 55106"
236,moto-i Sake Brewery & Pub,"2940 Lyndale Ave South Minneapolis, MN 55408"
237,"u4ic Brewing, Inc.","23436 Union Trail Belle Plaine, MN 56011"
238,Sociable Cider Werks,"1500 Fillmore St NE Minneapolis, MN 55413"
239,ONE Fermentary & Taproom,"618 N 5th St Minneapolis, MN 55401"
240,Blue Wolf Brewing Company,"8515 Edinburgh Centre Dr Brooklyn Park, MN 55443"
